sep=;
Nr.;Nume Produs;UM;Pret Fara TVA;Pret Cu TVA;Moneda;Cod EAN;Cod Produs;Observatii 1;Observatii 2;Tip;Pret 2;Pret 2 Cu TVA;Pret 3;Pret 3 Cu Tva;Cota TVA;Categorie Produse;Accize;Greutate (Kg);Observatii 3;Observatii 4;
179.;RAMA ALANIE 901;BUC;;190.00;RON;6424486864248;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
180.;RAMA ALANIE 901;BUC;;190.00;RON;6425216420673;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
181.;RAMA ALANIE 901;BUC;;190.00;RON;6425971406417;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
182.;RAMA ALANIE 901;BUC;;190.00;RON;6426806575865;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
183.;RAMA ALANIE 9025;BUC;;190.00;RON;6420002348988;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
184.;RAMA ALANIE 9025;BUC;;190.00;RON;6420129527921;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
185.;RAMA ALANIE 903;BUC;;190.00;RON;6422415368348;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
186.;RAMA ALANIE 903;BUC;;190.00;RON;6422735849404;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
187.;RAMA ALANIE 903;BUC;;190.00;RON;6424085058253;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
188.;RAMA ALANIE 903;BUC;;190.00;RON;6424819091037;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
189.;RAMA ALANIE 903;BUC;;190.00;RON;6425790709539;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
190.;RAMA ALANIE 903;BUC;;190.00;RON;6425903724343;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
191.;RAMA ALANIE 903;BUC;;190.00;RON;6429756811120;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
192.;RAMA ALANIE 948;BUC;;190.00;RON;6420795522947;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
193.;RAMA ALANIE 948;BUC;;190.00;RON;6423773822558;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
194.;RAMA ALANIE 948;BUC;;190.00;RON;6426910460026;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
195.;RAMA ALANIE 958;BUC;;190.00;RON;6421705063826;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
196.;RAMA ALANIE 958;BUC;;190.00;RON;6421962469249;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
197.;RAMA ALANIE 958;BUC;;190.00;RON;6422537807954;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
198.;RAMA ALANIE 958;BUC;;190.00;RON;6423288653548;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
199.;RAMA ALANIE 958;BUC;;190.00;RON;6424826053745;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
200.;RAMA ALANIE 958;BUC;;190.00;RON;6425877468403;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
201.;RAMA ALANIE 958;BUC;;190.00;RON;6427949977073;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
202.;RAMA ALANIE 958;BUC;;190.00;RON;6428057695477;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
203.;RAMA ALANIE 975;BUC;;190.00;RON;6423127601525;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
204.;RAMA ALANIE METAL ;BUC;;190.00;RON;6421700954754;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
